a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24
164,0,0,global,MISSION_ZURICH_SCORE,ACCOLADES_ZUR_1,,Unlock Token,ACCOLADES_ZUR_1_COMPLETE,,,,,,,,,,,,,,,,
165,0,0,global,MISSION_ZURICH_COLLECTIBLE,ACCOLADES_ZUR_2,,Unlock Token,ACCOLADES_ZUR_2_COMPLETE,,,,,,,,,,,,,,,,
166,0,0,global,MISSION_ZURICH_CHALLENGE3,ACCOLADES_ZUR_3,250,,ACCOLADES_ZUR_3_COMPLETE,,,,,,,,,,,,,,,,
167,0,0,global,MISSION_ZURICH_CHALLENGE4,ACCOLADES_ZUR_4,1000,,ACCOLADES_ZUR_4_COMPLETE,,,,,,,,,,,,,,,,
168,0,0,global,MISSION_ZURICH_CHALLENGE5,ACCOLADES_ZUR_5,250,,ACCOLADES_ZUR_5_COMPLETE,,,,,,,,,,,,,,,,
169,0,0,global,MISSION_ZURICH_CHALLENGE6,ACCOLADES_ZUR_6,500,,ACCOLADES_ZUR_6_COMPLETE,,,,,,,,,,,,,,,,
170,0,0,global,MISSION_ZURICH_CHALLENGE7,ACCOLADES_ZUR_7,250,,ACCOLADES_ZUR_7_COMPLETE,,,,,,,,,,,,,,,,
171,0,0,global,MISSION_ZURICH_CHALLENGE8,ACCOLADES_ZUR_8,500,,ACCOLADES_ZUR_8_COMPLETE,,,,,,,,,,,,,,,,
172,0,0,global,MISSION_ZURICH_CHALLENGE9,ACCOLADES_ZUR_9,250,,ACCOLADES_ZUR_9_COMPLETE,,,,,,,,,,,,,,,,
173,0,0,global,MISSION_ZURICH_CHALLENGE10,ACCOLADES_ZUR_10,500,,ACCOLADES_ZUR_10_COMPLETE,,,,,,,,,,,,,,,,
174,0,0,global,MISSION_ZURICH_CHALLENGE11,ACCOLADES_ZUR_11,250,,ACCOLADES_ZUR_11_COMPLETE,,,,,,,,,,,,,,,,
175,0,0,global,MISSION_ZURICH_CHALLENGE12,ACCOLADES_ZUR_12,,Unlock Token,ACCOLADES_ZUR_12_COMPLETE,,,,,,,,,,,,,,,,
176,0,0,global,MISSION_ZURICH_CHALLENGE13,ACCOLADES_ZUR_13,1000,,ACCOLADES_ZUR_13_COMPLETE,,,,,,,,,,,,,,,,
177,0,0,global,MISSION_ZURICH_CHALLENGE14,ACCOLADES_ZUR_14,250,,ACCOLADES_ZUR_14_COMPLETE,,,,,,,,,,,,,,,,
178,0,0,global,MISSION_ZURICH_CHALLENGE15,ACCOLADES_ZUR_15,500,,ACCOLADES_ZUR_15_COMPLETE,,,,,,,,,,,,,,,,
179,0,0,global,MISSION_ZURICH_CHALLENGE16,ACCOLADES_ZUR_16,,,ACCOLADES_ZUR_16_COMPLETE,,,,,,,,,,,,,,,,
180,0,0,global,MISSION_ZURICH_CHALLENGE17,ACCOLADES_ZUR_17,,,ACCOLADES_ZUR_17_COMPLETE,,,,,,,,,,,,,,,,
181,0,0,global,MISSION_SGEN_UNTOUCHED,ACCOLADES_SGEN_0,,Unlock Token,ACCOLADES_SGEN_0_COMPLETE,,,,,,,,,,,,,,,,
182,0,0,global,MISSION_SGEN_SCORE,ACCOLADES_SGEN_1,,Unlock Token,ACCOLADES_SGEN_1_COMPLETE,,,,,,,,,,,,,,,,
183,0,0,global,MISSION_SGEN_COLLECTIBLE,ACCOLADES_SGEN_2,,Unlock Token,ACCOLADES_SGEN_2_COMPLETE,,,,,,,,,,,,,,,,
184,0,0,global,MISSION_SGEN_CHALLENGE3,ACCOLADES_SGEN_3,500,,ACCOLADES_SGEN_3_COMPLETE,,,,,,,,,,,,,,,,
185,0,0,global,MISSION_SGEN_CHALLENGE4,ACCOLADES_SGEN_4,500,,ACCOLADES_SGEN_4_COMPLETE,,,,,,,,,,,,,,,,
186,0,0,global,MISSION_SGEN_CHALLENGE5,ACCOLADES_SGEN_5,250,,ACCOLADES_SGEN_5_COMPLETE,,,,,,,,,,,,,,,,
187,0,0,global,MISSION_SGEN_CHALLENGE6,ACCOLADES_SGEN_6,1000,,ACCOLADES_SGEN_6_COMPLETE,,,,,,,,,,,,,,,,
188,0,0,global,MISSION_SGEN_CHALLENGE7,ACCOLADES_SGEN_7,250,,ACCOLADES_SGEN_7_COMPLETE,,,,,,,,,,,,,,,,
189,0,0,global,MISSION_SGEN_CHALLENGE8,ACCOLADES_SGEN_8,250,,ACCOLADES_SGEN_8_COMPLETE,,,,,,,,,,,,,,,,
190,0,0,global,MISSION_SGEN_CHALLENGE9,ACCOLADES_SGEN_9,250,,ACCOLADES_SGEN_9_COMPLETE,,,,,,,,,,,,,,,,
191,0,0,global,MISSION_SGEN_CHALLENGE10,ACCOLADES_SGEN_10,1000,,ACCOLADES_SGEN_10_COMPLETE,,,,,,,,,,,,,,,,
192,0,0,global,MISSION_SGEN_CHALLENGE11,ACCOLADES_SGEN_11,,Unlock Token,ACCOLADES_SGEN_11_COMPLETE,,,,,,,,,,,,,,,,
193,0,0,global,MISSION_SGEN_CHALLENGE12,ACCOLADES_SGEN_12,,,ACCOLADES_SGEN_12_COMPLETE,,,,,,,,,,,,,,,,
194,0,0,global,MISSION_SGEN_CHALLENGE13,ACCOLADES_SGEN_13,250,,ACCOLADES_SGEN_13_COMPLETE,,,,,,,,,,,,,,,,
195,0,0,global,MISSION_SGEN_CHALLENGE14,ACCOLADES_SGEN_14,500,,ACCOLADES_SGEN_14_COMPLETE,,,,,,,,,,,,,,,,
196,0,0,global,MISSION_SGEN_CHALLENGE15,ACCOLADES_SGEN_15,500,,ACCOLADES_SGEN_15_COMPLETE,,,,,,,,,,,,,,,,
197,0,0,global,MISSION_SGEN_CHALLENGE16,ACCOLADES_SGEN_16,250,,ACCOLADES_SGEN_16_COMPLETE,,,,,,,,,,,,,,,,
198,0,0,global,MISSION_SGEN_CHALLENGE17,ACCOLADES_SGEN_17,500,,ACCOLADES_SGEN_17_COMPLETE,,,,,,,,,,,,,,,,
