a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23
65,camo,weaponoption,MPUI_CAMO_CHAMELEON_SHINY,camo_loot_chameleon_shiny,,menu_camo_chameleon_shiny_pattern,MPUI_CAMO_CHAMELEON_SHINY,MPUI_CAMO_CHAMELEON_SHINY,,0,,,,,,0,,,0,loot,,,
66,camo,weaponoption,MPUI_CAMO_CHAMELEON_EMISSIVE,camo_loot_chameleon_emissive,,menu_camo_chameleon_emissive_pattern,MPUI_CAMO_CHAMELEON_EMISSIVE,MPUI_CAMO_CHAMELEON_EMISSIVE,,0,,,,,,0,,,0,loot,,,
67,camo,weaponoption,MPUI_CAMO_HEATSTROKE_RED,camo_loot_heatstroke_red,,menu_camo_heatstroke_red_pattern,MPUI_CAMO_HEATSTROKE_RED,MPUI_CAMO_HEATSTROKE_RED,,0,,,,,,0,,,0,extras,code_mtx_pack,,
68,camo,weaponoption,MPUI_CAMO_HEATSTROKE_EMISSIVE,camo_loot_heatstroke_emissive,,menu_camo_heatstroke_emissive_pattern,MPUI_CAMO_HEATSTROKE_EMISSIVE,MPUI_CAMO_HEATSTROKE_EMISSIVE,,0,,,,,,0,,,0,loot,,,
69,camo,weaponoption,MPUI_CAMO_PLACEHOLDER_01,camo_loot_placeholder_01,,menu_camo_placeholder_pattern_01,Web,MPUI_CAMO_PLACEHOLDER_01,,0,,,,,,0,,,0,extras,,,
70,camo,weaponoption,MPUI_CAMO_PLACEHOLDER_02,camo_loot_placeholder_02,,menu_camo_placeholder_pattern_02,Urban,MPUI_CAMO_PLACEHOLDER_02,,0,,,,,,0,,,0,extras,,,
71,camo,weaponoption,MPUI_CAMO_PLACEHOLDER_03,camo_loot_placeholder_03,,menu_camo_placeholder_pattern_03,Gator,MPUI_CAMO_PLACEHOLDER_03,,0,,,,,,0,,,0,extras,,,
72,camo,weaponoption,MPUI_CAMO_PLACEHOLDER_04,camo_loot_placeholder_04,,menu_camo_placeholder_pattern_04,Sunken,MPUI_CAMO_PLACEHOLDER_04,,0,,,,,,0,,,0,extras,,,
73,camo,weaponoption,MPUI_CAMO_PLACEHOLDER_05,camo_loot_placeholder_05,,menu_camo_placeholder_pattern_05,Rust,MPUI_CAMO_PLACEHOLDER_05,,0,,,,,,0,,,0,extras,,,
74,camo,weaponoption,MPUI_CAMO_BGB74,camo_BGB74,,menu_camo_BGB74_pattern,MPUI_CAMO_BGB74,MPUI_CAMO_BGB74,,0,,,,,,0,,,0,loot,,,
75,camo,weaponoption,MPUI_CAMO_DLC5_REWARD_1,camo_dlc2_pap,,menu_camo_zm_dlc2_pap01,MPUI_CAMO_DLC5_REWARD_1,MPUI_CAMO_DLC5_REWARD_1,,0,,,,,,0,,,0,extras,dlc5_camo,,
76,camo,weaponoption,MPUI_CAMO_DLC5_REWARD_2,camo_dlc2_pap,,menu_camo_zm_dlc2_pap02,MPUI_CAMO_DLC5_REWARD_2,MPUI_CAMO_DLC5_REWARD_2,,0,,,,,,0,,,0,extras,dlc5_camo,,
77,camo,weaponoption,MPUI_CAMO_DLC5_REWARD_3,camo_dlc2_pap,,menu_camo_zm_dlc2_pap03,MPUI_CAMO_DLC5_REWARD_3,MPUI_CAMO_DLC5_REWARD_3,,0,,,,,,0,,,0,extras,dlc5_camo,,
78,camo,weaponoption,MPUI_CAMO_DLC5_REWARD_4,camo_dlc2_pap,,menu_camo_zm_dlc2_pap04,MPUI_CAMO_DLC5_REWARD_4,MPUI_CAMO_DLC5_REWARD_4,,0,,,,,,0,,,0,extras,dlc5_camo,,
79,camo,weaponoption,MPUI_CAMO_DLC5_REWARD_5,camo_dlc2_pap,,menu_camo_zm_dlc2_pap05,MPUI_CAMO_DLC5_REWARD_5,MPUI_CAMO_DLC5_REWARD_5,,0,,,,,,0,,,0,extras,dlc5_camo,,
80,camo,weaponoption,MPUI_CAMO_PLACEHOLDER_11,camo_dlc2_pap,,menu_camo_zm_dlc2_pap03,Opal,MPUI_CAMO_PLACEHOLDER_11,,0,,,,,,0,,,0,extras,,,
81,camo,weaponoption,MPUI_CAMO_ZMHD_PAP_01,camo_zm_island_pap,,menu_camo_pap_island,MPUI_CAMO_ZMHD_PAP_01,MPUI_CAMO_ZMHD_PAP_01,,0,,,,,,0,,,0,extras,overgrowth_camo,,
82,camo,weaponoption,MPUI_CAMO_NIGHTMARE,camo_loot_nightmare,,menu_camo_nightmare,MPUI_CAMO_NIGHTMARE,MPUI_CAMO_NIGHTMARE,,0,,,,,,0,,,0,extras,nightmare_camo,,1
83,camo,weaponoption,MPUI_CAMO_LOOT_SECTION9_EMISSIVE,camo_loot_section9_emissive,,menu_camo_loot_section9_emissive_pattern,MPUI_CAMO_LOOT_SECTION9_EMISSIVE,MPUI_CAMO_LOOT_SECTION9_EMISSIVE,,0,,,,,,0,,,0,loot,,,
84,camo,weaponoption,MPUI_CAMO_ZMHD_EVENT_01,camo_dlc3_pap_base,,menu_camo_dlc3_pap_base,MPUI_CAMO_ZMHD_EVENT_01,MPUI_CAMO_ZMHD_EVENT_01,,0,,,,,,0,,,0,extras,,,
85,camo,weaponoption,MPUI_CAMO_PROMO_01,camo_dlc3_pap_var_01,,menu_camo_dlc3_pap_01,Blue Fire,MPUI_CAMO_PROMO_01,,0,,,,,,0,,,0,extras,,,
86,camo,weaponoption,MPUI_CAMO_PROMO_02,camo_dlc3_pap_var_02,,menu_camo_dlc3_pap_02,MPUI_CAMO_PROMO_02,MPUI_CAMO_PROMO_02,,0,,,,,,0,,,0,extras,,,1
87,camo,weaponoption,MPUI_CAMO_PLACEHOLDER_18,camo_loot_placeholder_18,,menu_camo_placeholder_pattern_18,Krovi Fire,MPUI_CAMO_PLACEHOLDER_18,,0,,,,,,0,,,0,extras,,,
88,camo,weaponoption,MPUI_CAMO_PROMO_03,camo_dlc3_pap_var_03,,menu_camo_dlc3_pap_04,MPUI_CAMO_PROMO_03,MPUI_CAMO_PROMO_03,,0,,,,,,0,,,0,extras,,,1
89,camo,weaponoption,MPUI_CAMO_CODXP,camo_codxp,,menu_camo_codxp,MPUI_CAMO_CODXP,MPUI_CAMO_CODXP,,0,,,,,,0,,,0,extras,codxp_pack,,
90,camo,weaponoption,MPUI_CAMO_CODCWL,camo_codcwl,,menu_camo_cwl_base,MPUI_CAMO_CODCWL,MPUI_CAMO_CODCWL,,0,,,,,,0,,,0,extras,cwl_mtx,,
91,camo,weaponoption,MPUI_CAMO_CODCWL,camo_codcwl,,menu_camo_cwl_base,MPUI_CAMO_CODCWL,MPUI_CAMO_CODCWL,,0,,,,,,0,,,0,extras,unavailable,,
92,camo,weaponoption,MPUI_CAMO_CODCWL,camo_codcwl,,menu_camo_cwl_base,MPUI_CAMO_CODCWL,MPUI_CAMO_CODCWL,,0,,,,,,0,,,0,extras,unavailable,,
93,camo,weaponoption,MPUI_CAMO_CODCWL_ANZ_EXCELLENCE,camo_codcwl_anz_excellence,,menu_camo_cwl_excellence,MPUI_CAMO_CODCWL_ANZ_EXCELLENCE,MPUI_CAMO_CODCWL_ANZ_EXCELLENCE,,0,,,,,,0,,,0,extras,anz_team_mtx,,
94,camo,weaponoption,MPUI_CAMO_CODCWL,camo_codcwl,,menu_camo_cwl_base,MPUI_CAMO_CODCWL,MPUI_CAMO_CODCWL,,0,,,,,,0,,,0,extras,unavailable,,
95,camo,weaponoption,MPUI_CAMO_CODCWL_ANZ_MINDFREAK,camo_codcwl_anz_Mindfreak,,menu_camo_cwl_Mindfreak,MPUI_CAMO_CODCWL_ANZ_MINDFREAK,MPUI_CAMO_CODCWL_ANZ_MINDFREAK,,0,,,,,,0,,,0,extras,anz_team_mtx,,
96,camo,weaponoption,MPUI_CAMO_CODCWL_ANZ_NV,camo_codcwl_anz_nv,,menu_camo_cwl_nv,MPUI_CAMO_CODCWL_ANZ_NV,MPUI_CAMO_CODCWL_ANZ_NV,,0,,,,,,0,,,0,extras,anz_team_mtx,,
97,camo,weaponoption,MPUI_CAMO_CODCWL_ANZ_ORBIT_GG,camo_codcwl_anz_orbit_gg,,menu_camo_cwl_orbit,MPUI_CAMO_CODCWL_ANZ_ORBIT_GG,MPUI_CAMO_CODCWL_ANZ_ORBIT_GG,,0,,,,,,0,,,0,extras,anz_team_mtx,,
98,camo,weaponoption,MPUI_CAMO_CODCWL_ANZ_TAINTED_MINDS,camo_codcwl_anz_tainted_minds,,menu_camo_cwl_tainted_minds,MPUI_CAMO_CODCWL_ANZ_TAINTED_MINDS,MPUI_CAMO_CODCWL_ANZ_TAINTED_MINDS,,0,,,,,,0,,,0,extras,anz_team_mtx,,
99,camo,weaponoption,MPUI_CAMO_CODCWL_EU_EPSILON,camo_codcwl_eu_epsilon,,menu_camo_cwl_epsilon,MPUI_CAMO_CODCWL_EU_EPSILON,MPUI_CAMO_CODCWL_EU_EPSILON,,0,,,,,,0,,,0,extras,eu_team_mtx,,
100,camo,weaponoption,MPUI_CAMO_CODCWL,camo_codcwl,,menu_camo_cwl_base,MPUI_CAMO_CODCWL,MPUI_CAMO_CODCWL,,0,,,,,,0,,,0,extras,unavailable,,
101,camo,weaponoption,MPUI_CAMO_CODCWL,camo_codcwl,,menu_camo_cwl_base,MPUI_CAMO_CODCWL,MPUI_CAMO_CODCWL,,0,,,,,,0,,,0,extras,unavailable,,
102,camo,weaponoption,MPUI_CAMO_CODCWL,camo_codcwl,,menu_camo_cwl_base,MPUI_CAMO_CODCWL,MPUI_CAMO_CODCWL,,0,,,,,,0,,,0,extras,unavailable,,
103,camo,weaponoption,MPUI_CAMO_CODCWL_EU_INFUSED,camo_codcwl_eu_infused,,menu_camo_cwl_infused,MPUI_CAMO_CODCWL_EU_INFUSED,MPUI_CAMO_CODCWL_EU_INFUSED,,0,,,,,,0,,,0,extras,eu_team_mtx,,
104,camo,weaponoption,MPUI_CAMO_CODCWL_EU_LDLC,camo_codcwl_eu_ldlc,,menu_camo_cwl_ldlc,MPUI_CAMO_CODCWL_EU_LDLC,MPUI_CAMO_CODCWL_EU_LDLC,,0,,,,,,0,,,0,extras,eu_team_mtx,,
105,camo,weaponoption,MPUI_CAMO_CODCWL_EU_MILLENIUM,camo_codcwl_eu_millenium,,menu_camo_cwl_millenium,MPUI_CAMO_CODCWL_EU_MILLENIUM,MPUI_CAMO_CODCWL_EU_MILLENIUM,,0,,,,,,0,,,0,extras,eu_team_mtx,,
106,camo,weaponoption,MPUI_CAMO_CODCWL_EU_SPLYCE,camo_codcwl_eu_splyce,,menu_camo_cwl_splyce,MPUI_CAMO_CODCWL_EU_SPLYCE,MPUI_CAMO_CODCWL_EU_SPLYCE,,0,,,,,,0,,,0,extras,eu_team_mtx,,
107,camo,weaponoption,MPUI_CAMO_CODCWL_EU_SUPREMACY,camo_codcwl_eu_supremacy,,menu_camo_cwl_supremacy,MPUI_CAMO_CODCWL_EU_SUPREMACY,MPUI_CAMO_CODCWL_EU_SUPREMACY,,0,,,,,,0,,,0,extras,eu_team_mtx,,
108,camo,weaponoption,MPUI_CAMO_CODCWL,camo_codcwl,,menu_camo_cwl_base,MPUI_CAMO_CODCWL,MPUI_CAMO_CODCWL,,0,,,,,,0,,,0,extras,unavailable,,
109,camo,weaponoption,MPUI_CAMO_CODCWL_NA_CLOUD9,camo_codcwl_na_cloud9,,menu_camo_cwl_cloud9,MPUI_CAMO_CODCWL_NA_CLOUD9,MPUI_CAMO_CODCWL_NA_CLOUD9,,0,,,,,,0,,,0,extras,na_team_mtx,,
110,camo,weaponoption,MPUI_CAMO_CODCWL,camo_codcwl,,menu_camo_cwl_base,MPUI_CAMO_CODCWL,MPUI_CAMO_CODCWL,,0,,,,,,0,,,0,extras,unavailable,,
111,camo,weaponoption,MPUI_CAMO_CODCWL_NA_ELEVATE,camo_codcwl_na_elevate,,menu_camo_cwl_elevate,MPUI_CAMO_CODCWL_NA_ELEVATE,MPUI_CAMO_CODCWL_NA_ELEVATE,,0,,,,,,0,,,0,extras,na_team_mtx,,
112,camo,weaponoption,MPUI_CAMO_CODCWL_NA_ENVYUS,camo_codcwl_na_envyus,,menu_camo_cwl_envyus,MPUI_CAMO_CODCWL_NA_ENVYUS,MPUI_CAMO_CODCWL_NA_ENVYUS,,0,,,,,,0,,,0,extras,na_team_mtx,,
113,camo,weaponoption,MPUI_CAMO_CODCWL_NA_FAZE,camo_codcwl_na_faze,,menu_camo_cwl_faze,MPUI_CAMO_CODCWL_NA_FAZE,MPUI_CAMO_CODCWL_NA_FAZE,,0,,,,,,0,,,0,extras,na_team_mtx,,
114,camo,weaponoption,MPUI_CAMO_CODCWL,camo_codcwl,,menu_camo_cwl_base,MPUI_CAMO_CODCWL,MPUI_CAMO_CODCWL,,0,,,,,,0,,,0,extras,unavailable,,
115,camo,weaponoption,MPUI_CAMO_CODCWL,camo_codcwl,,menu_camo_cwl_base,MPUI_CAMO_CODCWL,MPUI_CAMO_CODCWL,,0,,,,,,0,,,0,extras,unavailable,,
116,camo,weaponoption,MPUI_CAMO_CODCWL_NA_OPTICGAMING,camo_codcwl_na_opticgaming,,menu_camo_cwl_opticgaming,MPUI_CAMO_CODCWL_NA_OPTICGAMING,MPUI_CAMO_CODCWL_NA_OPTICGAMING,,0,,,,,,0,,,0,extras,na_team_mtx,,
117,camo,weaponoption,MPUI_CAMO_CODCWL_NA_RISE_NATION,camo_codcwl_na_rise_nation,,menu_camo_cwl_rise_nation,MPUI_CAMO_CODCWL_NA_RISE_NATION,MPUI_CAMO_CODCWL_NA_RISE_NATION,,0,,,,,,0,,,0,extras,na_team_mtx,,
118,camo,weaponoption,MPUI_CAMO_LOOT_CONTRACT,mtl_t7_camo_loot_contract,,menu_camo_loot_contract,Bad Image,MPUI_CAMO_LOOT_CONTRACT,,0,,,,,,0,,,0,extras,,,
119,camo,weaponoption,MPUI_CAMO_LOOT_CONTRACT_CRYSTALS,mtl_t7_camo_loot_contract_crystals,,menu_camo_loot_contract_crystals,MPUI_CAMO_LOOT_CONTRACT_CRYSTALS,MPUI_CAMO_LOOT_CONTRACT_CRYSTALS,,0,,,,,,0,,,0,extras,,,
120,camo,weaponoption,MPUI_CAMO_CODCWL,camo_codcwl,,menu_camo_cwl_base,MPUI_CAMO_CODCWL,MPUI_CAMO_CODCWL,,0,,,,,,0,,,0,extras,cwl_mtx_v2,,
121,camo,weaponoption,MPUI_CAMO_PLACEHOLDER_19,camo_loot_placeholder_19,,menu_camo_placeholder_pattern_19,Rev Pap,MPUI_CAMO_PLACEHOLDER_19,,0,,,,,,0,,,0,extras,,,
122,camo,weaponoption,MPUI_CAMO_ZMHD_EVENT_02,camo_dlc4_pap_02,,menu_camo_pap_dlc4_02,MPUI_CAMO_ZMHD_EVENT_02,MPUI_CAMO_ZMHD_EVENT_02,,0,,,,,,0,,,0,extras,,,
123,camo,weaponoption,MPUI_CAMO_PLACEHOLDER_21,camo_loot_placeholder_21,,menu_camo_placeholder_pattern_21,Rev Pap,MPUI_CAMO_PLACEHOLDER_21,,0,,,,,,0,,,0,extras,,,
124,camo,weaponoption,MPUI_CAMO_ZMHD_LE_01,camo_dlc4_pap_04,,menu_camo_pap_dlc4_04,MPUI_CAMO_ZMHD_LE_01,MPUI_CAMO_ZMHD_LE_01,,0,,,,,,0,,,0,extras,,,1
125,camo,weaponoption,MPUI_CAMO_PLACEHOLDER_23,camo_loot_placeholder_23,,menu_camo_placeholder_pattern_23,Rev Pap,MPUI_CAMO_PLACEHOLDER_23,,0,,,,,,0,,,0,extras,,,
126,camo,weaponoption,MPUI_CAMO_ZM_LUCID,camo_zm_lucid,,menu_camo_zmb_lucid_emissive,MPUI_CAMO_ZM_LUCID,MPUI_CAMO_ZM_LUCID,,0,,,,,,0,,,0,zm,dlc4_camo,,
127,camo,weaponoption,MPUI_CAMO_PLACEHOLDER_24,camo_loot_placeholder_24,,menu_camo_placeholder_pattern_24,MPUI_CAMO_PLACEHOLDER_24,MPUI_CAMO_PLACEHOLDER_24,,0,,,,,,0,,,0,,,,
128,camo,weaponoption,MPUI_CAMO_PLACEHOLDER_25,camo_loot_placeholder_25,,menu_camo_placeholder_pattern_25,MPUI_CAMO_PLACEHOLDER_25,MPUI_CAMO_PLACEHOLDER_25,,0,,,,,,0,,,0,,,,
129,camo,weaponoption,MPUI_CAMO_PLACEHOLDER_26,camo_loot_placeholder_26,,menu_camo_placeholder_pattern_26,MPUI_CAMO_PLACEHOLDER_26,MPUI_CAMO_PLACEHOLDER_26,,0,,,,,,0,,,0,,,,
130,camo,weaponoption,MPUI_CAMO_PLACEHOLDER_27,camo_loot_placeholder_27,,menu_camo_placeholder_pattern_27,MPUI_CAMO_PLACEHOLDER_27,MPUI_CAMO_PLACEHOLDER_27,,0,,,,,,0,,,0,,,,
131,camo,weaponoption,MPUI_MTL_T7_CAMO_LOOT_PATRICKS_03,mtl_t7_camo_loot_patricks_03,,menu_camo_patricks_03,MPUI_MTL_T7_CAMO_LOOT_PATRICKS_03,MPUI_MTL_T7_CAMO_LOOT_PATRICKS_03,,0,,,,,,0,,,0,extras,,,1
132,camo,weaponoption,MPUI_CAMO_PLACEHOLDER_28,camo_loot_placeholder_28,,menu_camo_placeholder_pattern_28,Classic Pack-a-Punch,MPUI_CAMO_PLACEHOLDER_28,,0,,,,,,0,,,0,extras,,,
133,camo,weaponoption,MPUI_CAMO_PLACEHOLDER_29,camo_loot_placeholder_29,,menu_camo_placeholder_pattern_29,Origins,MPUI_CAMO_PLACEHOLDER_29,,0,,,,,,0,,,0,extras,,,
134,camo,weaponoption,MPUI_CAMO_CHERRY_FIZZ,camo_cherry_fizz,,menu_camo_summertime_cherry_fiz,MPUI_CAMO_CHERRY_FIZZ,MPUI_CAMO_CHERRY_FIZZ,,0,,,,,,0,,,0,extras,,,1
135,camo,weaponoption,MPUI_CAMO_EMPIRE,camo_vip_bubbles,,menu_camo_summertime_vip_bubbles,MPUI_CAMO_EMPIRE,MPUI_CAMO_EMPIRE,,0,,,,,,0,,,0,extras,,,1
136,camo,weaponoption,MPUI_CAMO_SOVIET_BLUE,mtl_t7_camo_soviet_winter_blue,,menu_camo_winter_soviet_blue,MPUI_CAMO_SOVIET_BLUE,MPUI_CAMO_SOVIET_BLUE,,0,,,,,,0,,,0,extras,,,1
137,camo,weaponoption,MPUI_CAMO_HONEYCOMB_AMBER,mtl_t7_camo_honeycomb_amber,,menu_camo_honeycomb,MPUI_CAMO_HONEYCOMB_AMBER,MPUI_CAMO_HONEYCOMB_AMBER,,0,,,,,,0,,,0,extras,,,1
138,camo,weaponoption,MPUI_CAMO_WATERMELON,mtl_t7_camo_summertime_wpn,,menu_camo_watermelon,MPUI_CAMO_WATERMELON,MPUI_CAMO_WATERMELON,,0,,,,,,0,,,0,extras,watermelon_camo,,1
139,lens,weaponoption,MPUI_LENS_DEFAULT,lens_default,,,,,,,,,,,,,,,0,,,,
140,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_0,,,,,,,,,0,,,1000,,,0,,,,
141,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_1,,,,,,,,,0,,,1000,,,0,cp,,,
142,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_2,,,,,,,,,0,,,1000,,,0,cp,,,
143,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_3,,,,,,,,,0,,,1000,,,0,cp,,,
144,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_4,,,,,,,,,0,,,1000,,,0,mp,,,
145,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_5,,,,,,,,,0,,,1000,,,0,mp,,,
146,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_6,,,,,,,,,0,,,1000,,,0,mp,,,
147,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_7,,,,,,,,,0,,,1000,,,0,mp,,,
148,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_8,,,,,,,,,0,,,1000,,,0,mp,,,
149,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_9,,,,,,,,,0,,,1000,,,0,mp,,,
150,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_10,,,,,,,,,0,,,1000,,,0,mp,,,
151,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_11,,,,,,,,,0,,,1000,,,0,mp,,,
152,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_12,,,,,,,,,0,,,1000,,,0,mp,,,
153,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_13,,,,,,,,,0,,,1000,,,0,mp,,,
154,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_14,,,,,,,,,0,,,1000,,,0,zm,,,
155,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_15,,,,,,,,,0,,,1000,,,0,zm,,,
156,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_16,,,,,,,,,0,,,1000,,,0,zm,,,
157,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_17,,,,,,,,,0,,,1000,,,0,zm,,,
158,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_18,,,,,,,,,0,,,1000,,,0,extras,ce_personalization_pack,,
159,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_19,,,,,,,,,0,,,1000,,,0,extras,ce_personalization_pack,,
160,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_20,,,,,,,,,0,,,1000,,,0,extras,bo3_personalization_pack,,
161,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_21,,,,,,,,,0,,,1000,,,0,extras,loyalty_reticles,,
162,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_22,,,,,,,,,0,,,1000,,,0,extras,cj_reticle,,
163,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_23,,,,,,,,,0,,,1000,,,0,extras,,,
164,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_24,,,,,,,,,0,,,0,,,0,loot,,,
165,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_25,,,,,,,,,0,,,0,,,0,loot,,,
166,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_26,,,,,,,,,0,,,0,,,0,loot,,,
167,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_27,,,,,,,,,0,,,0,,,0,loot,,,
168,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_28,,,,,,,,,0,,,0,,,0,loot,,,
169,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_29,,,,,,,,,0,,,0,,,0,loot,,,
170,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_30,,,,,,,,,0,,,0,,,0,loot,,,
171,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_31,,,,,,,,,0,,,0,,,0,loot,,,
172,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_32,,,,,,,,,0,,,0,,,0,loot,,,
173,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_33,,,,,,,,,0,,,0,,,0,loot,,,
174,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_34,,,,,,,,,0,,,0,,,0,loot,,,
175,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_35,,,,,,,,,0,,,0,,,0,loot,,,
176,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_36,,,,,,,,,0,,,0,,,0,loot,,,
177,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_37,,,,,,,,,0,,,0,,,0,loot,,,
178,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_38,,,,,,,,,0,,,0,,,0,loot,,,
179,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_39,,,,,,,,,0,,,0,,,0,loot,,,
180,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_40,,,,,,,,,0,,,0,,,0,extras,code_mtx_pack,,
181,reticle,weaponoption,MPUI_RETICLE_DEFAULT,reticle_41,,,,,,,,,0,,,0,,,0,mp,,,
182,reticle_color,weaponoption,MPUI_RETICLE_COLOR_1,reticle_color_1,,,,,,,,,,,,,,,0,,,,
183,tag,weaponoption,FEATURE_GUN_TAG,tag,,,,,,,,,,,1,,,,0,,,,
184,emblem,weaponoption,FEATURE_GUN_EMBLEM,emblem,,,,,,,,,,,2,,,,0,,,,
